"country","city","total_rent","total_revenue","unique_customers","top_category"
"Afghanistan","Kabul","18","67.82","1","Comedy"
"Algeria","Batna","27","107.73","1","New"
"Algeria","Bchar","23","89.77","1","Sci-Fi"
"Algeria","Skikda","32","151.68","1","Animation"
"American Samoa","Tafuna","15","47.85","1","Sports"
"Angola","Benguela","20","93.80","1","Comedy"
"Angola","Namibe","25","93.75","1","Animation"
"Anguilla","South Hill","32","99.68","1","Travel"
"Argentina","Almirante Brown","22","85.78","1","Documentary"
"Argentina","Avellaneda","29","129.71","1","Action"
"Argentina","Baha Blanca","19","81.81","1","Action"
"Argentina","Crdoba","23","85.77","1","Animation"
"Argentina","Escobar","24","96.76","1","Animation"
"Argentina","Ezeiza","22","75.78","1","Animation"
"Argentina","La Plata","29","124.71","1","Action"
"Argentina","Merlo","28","114.72","1","Sci-Fi"
"Argentina","Quilmes","24","117.76","1","Sports"
"Argentina","San Miguel de Tucumn","23","77.77","1","Documentary"
"Argentina","Santa F","22","105.78","1","Drama"
"Argentina","Tandil","30","101.70","1","Documentary"
"Argentina","Vicente Lpez","25","100.75","1","Sci-Fi"
"Armenia","Yerevan","25","118.75","1","Animation"
"Austria","Graz","27","111.73","1","Documentary"
"Austria","Linz","17","58.83","1","Action"
"Austria","Salzburg","26","113.74","1","Drama"
"Azerbaijan","Baku","22","89.78","1","Games"
"Azerbaijan","Sumqayit","25","108.75","1","Foreign"
"Bahrain","al-Manama","24","108.76","1","Sports"
"Bangladesh","Dhaka","26","107.74","1","Drama"
"Bangladesh","Jamalpur","23","98.77","1","Music"
"Bangladesh","Tangail","32","146.68","1","Sci-Fi"
"Belarus","Mogiljov","24","81.76","1","Action"
"Belarus","Molodetno","40","189.60","1","Drama"
"Bolivia","El Alto","22","85.78","1","Documentary"
"Bolivia","Sucre","22","92.78","1","Animation"
"Brazil","Alvorada","21","75.79","1","Sci-Fi"
"Brazil","Angra dos Reis","20","92.80","1","Action"
"Brazil","Anpolis","25","93.75","1","Sports"
"Brazil","Aparecida de Goinia","22","90.78","1","Travel"
"Brazil","Araatuba","23","85.77","1","Classics"
"Brazil","Bag","15","73.85","1","Children"
"Brazil","Belm","31","140.69","1","Sports"
"Brazil","Blumenau","27","126.73","1","New"
"Brazil","Boa Vista","32","130.68","1","Classics"
"Brazil","Braslia","18","72.82","1","New"
"Brazil","Goinia","26","122.74","1","Drama"
"Brazil","Guaruj","23","107.77","1","Documentary"
"Brazil","guas Lindas de Gois","22","87.78","1","Sci-Fi"
"Brazil","Ibirit","13","68.87","1","Comedy"
"Brazil","Juazeiro do Norte","19","92.81","1","Action"
"Brazil","Juiz de Fora","27","134.73","1","Sports"
"Brazil","Luzinia","22","75.78","1","Sci-Fi"
"Brazil","Maring","18","76.82","1","Sci-Fi"
"Brazil","Po","25","102.75","1","Action"
"Brazil","Poos de Caldas","30","107.70","1","Sci-Fi"
"Brazil","Rio Claro","26","96.74","1","Sci-Fi"
"Brazil","Santa Brbara dOeste","39","194.61","1","Animation"
"Brazil","Santo Andr","33","125.67","1","Documentary"
"Brazil","So Bernardo do Campo","20","92.80","1","Family"
"Brazil","So Leopoldo","21","93.79","1","Animation"
"Brazil","Sorocaba","29","113.71","1","Sports"
"Brazil","Vila Velha","29","141.71","1","Action"
"Brazil","Vitria de Santo Anto","25","98.75","1","Animation"
"Brunei","Bandar Seri Begawan","34","107.66","1","Sports"
"Bulgaria","Ruse","24","112.76","1","Documentary"
"Bulgaria","Stara Zagora","24","81.76","1","Foreign"
"Cambodia","Battambang","24","92.76","1","Animation"
"Cambodia","Phnom Penh","25","86.75","1","Foreign"
"Cameroon","Bamenda","22","96.78","1","Foreign"
"Cameroon","Yaound","29","89.71","1","Foreign"
"Canada","Gatineau","20","87.80","1","Animation"
"Canada","Halifax","24","89.76","1","Sci-Fi"
"Canada","Oshawa","21","87.79","1","Animation"
"Canada","Richmond Hill","38","167.62","1","Action"
"Canada","Vancouver","27","126.73","1","Animation"
"Chad","NDjamna","28","122.72","1","Sci-Fi"
"Chile","Antofagasta","26","124.74","1","Action"
"Chile","Coquimbo","26","110.74","1","Classics"
"Chile","Rancagua","14","67.86","1","Action"
"China","Baicheng","27","109.73","1","Sports"
"China","Baiyin","24","110.76","1","Action"
"China","Binzhou","30","132.70","1","Sports"
"China","Changzhou","32","133.68","1","Comedy"
"China","Datong","30","113.70","1","Music"
"China","Daxian","30","91.70","1","Documentary"
"China","Dongying","22","101.78","1","Games"
"China","Emeishan","25","119.75","1","Classics"
"China","Enshi","12","49.88","1","Animation"
"China","Ezhou","16","63.84","1","Animation"
"China","Fuyu","33","146.67","1","Music"
"China","Fuzhou","10","32.90","1","Animation"
"China","Haining","20","89.80","1","Classics"
"China","Hami","20","81.80","1","Classics"
"China","Hohhot","32","106.68","1","Sports"
"China","Huaian","21","77.79","1","Foreign"
"China","Jinchang","32","129.68","1","Foreign"
"China","Jining","23","108.77","1","Sports"
"China","Jinzhou","29","110.71","1","Documentary"
"China","Junan","23","78.77","1","Animation"
"China","Korla","23","68.77","1","Animation"
"China","Laiwu","25","81.75","1","Action"
"China","Laohekou","25","96.75","1","Games"
"China","Lengshuijiang","33","142.67","1","New"
"China","Leshan","27","113.73","1","Sports"
"China","Liaocheng","34","124.66","1","Children"
"China","Meixian","28","110.72","1","Animation"
"China","Nanyang","21","91.79","1","Comedy"
"China","Pingxiang","20","86.80","1","Drama"
"China","Qinhuangdao","29","128.71","1","New"
"China","Rizhao","19","82.81","1","Drama"
"China","Sanya","24","94.76","2","Action"
"China","Shanwei","29","109.71","1","Drama"
"China","Shaoguan","28","112.72","1","Animation"
"China","Shenzhen","18","70.82","1","Comedy"
"China","Suihua","22","92.78","1","Action"
"China","Tianjin","19","88.81","1","Games"
"China","Tiefa","26","113.74","1","Animation"
"China","Tieli","18","78.82","1","Comedy"
"China","Tongliao","29","104.71","1","Animation"
"China","Weifang","27","107.73","1","Classics"
"China","Xiangfan","32","110.68","1","New"
"China","Xiangtan","20","86.80","1","Action"
"China","Xintai","22","82.78","1","Classics"
"China","Xinxiang","24","95.76","1","Sports"
"China","Yantai","13","65.87","1","Documentary"
"China","Yinchuan","27","128.73","1","Drama"
"China","Yingkou","23","80.77","1","Family"
"China","Yuncheng","27","110.73","1","Sci-Fi"
"China","Yuzhou","22","95.78","1","Music"
"China","Zalantun","20","76.80","1","Classics"
"China","Zaoyang","21","69.79","1","Drama"
"China","Zhoushan","31","151.69","1","Family"
"Colombia","Buenaventura","23","89.77","1","Animation"
"Colombia","Dos Quebradas","30","134.70","1","Action"
"Colombia","Florencia","21","97.79","1","Animation"
"Colombia","Pereira","22","95.78","1","Documentary"
"Colombia","Sincelejo","28","137.72","1","Action"
"Colombia","Sogamoso","22","105.78","1","Animation"
"Congo, The Democratic Republic of the","Lubumbashi","22","79.78","1","Games"
"Congo, The Democratic Republic of the","Mwene-Ditu","20","88.80","1","Travel"
"Czech Republic","Olomouc","28","132.72","1","Children"
"Dominican Republic","La Romana","20","85.80","1","Foreign"
"Dominican Republic","San Felipe de Puerto Plata","30","107.70","1","Foreign"
"Dominican Republic","Santiago de los Caballeros","24","110.76","1","Drama"
"Ecuador","Loja","25","118.75","1","Comedy"
"Ecuador","Portoviejo","27","114.73","1","Family"
"Ecuador","Robamba","30","135.70","1","Sports"
"Egypt","Bilbays","28","110.72","1","Animation"
"Egypt","Idfu","23","89.77","1","Family"
"Egypt","Mit Ghamr","25","120.75","1","Sci-Fi"
"Egypt","Qalyub","19","77.81","1","Horror"
"Egypt","Sawhaj","26","120.74","1","Drama"
"Egypt","Shubra al-Khayma","31","139.69","1","Sci-Fi"
"Estonia","Tartu","28","105.72","1","Family"
"Ethiopia","Addis Abeba","23","91.77","1","Animation"
"Faroe Islands","Trshavn","24","96.76","1","Animation"
"Finland","Oulu","21","78.79","1","Action"
"France","Brest","19","77.81","1","Drama"
"France","Le Mans","17","59.83","1","Sports"
"France","Toulon","22","77.78","1","Action"
"France","Toulouse","30","118.70","1","Action"
"French Guiana","Cayenne","20","97.80","1","Animation"
"French Polynesia","Faaa","22","89.78","1","New"
"French Polynesia","Papeete","26","115.74","1","Classics"
"Gambia","Banjul","27","114.73","1","Comedy"
"Germany","Duisburg","30","126.70","1","Foreign"
"Germany","Erlangen","27","127.73","1","Travel"
"Germany","Halle/Saale","25","100.75","1","Sci-Fi"
"Germany","Mannheim","31","128.69","1","Animation"
"Germany","Saarbrcken","22","78.78","1","Documentary"
"Germany","Siegen","19","86.81","1","Drama"
"Germany","Witten","22","91.78","1","Animation"
"Greece","Athenai","24","130.76","1","Action"
"Greece","Patras","22","73.78","1","Sports"
"Greenland","Nuuk","28","119.72","1","Games"
"Holy See (Vatican City State)","Citt del Vaticano","32","146.68","1","Documentary"
"Hong Kong","Kowloon and New Kowloon","24","104.76","1","Foreign"
"Hungary","Szkesfehrvr","29","111.71","1","Family"
"India","Adoni","20","97.80","1","Children"
"India","Ahmadnagar","26","99.74","1","Sci-Fi"
"India","Allappuzha (Alleppey)","24","98.76","1","Games"
"India","Ambattur","24","111.76","1","Drama"
"India","Amroha","22","81.78","1","Family"
"India","Balurghat","25","86.75","1","Documentary"
"India","Berhampore (Baharampur)","19","65.81","1","Children"
"India","Bhavnagar","21","96.79","1","Comedy"
"India","Bhilwara","29","147.71","1","Action"
"India","Bhimavaram","28","115.72","1","Sci-Fi"
"India","Bhopal","32","134.68","1","Classics"
"India","Bhusawal","26","103.74","1","Animation"
"India","Bijapur","34","154.66","1","Animation"
"India","Chandrapur","29","108.71","1","Music"
"India","Chapra","18","86.82","1","Animation"
"India","Dhule (Dhulia)","21","83.79","1","Drama"
"India","Etawah","25","104.75","1","Action"
"India","Firozabad","22","97.78","1","Comedy"
"India","Gandhinagar","17","69.83","1","Action"
"India","Gulbarga","19","70.81","1","Action"
"India","Haldia","29","111.71","1","Classics"
"India","Halisahar","30","154.70","2","Sports"
"India","Hoshiarpur","17","74.83","1","Action"
"India","Hubli-Dharwad","14","59.86","1","Action"
"India","Jaipur","22","88.78","1","Action"
"India","Jhansi","26","112.74","1","Family"
"India","Jodhpur","22","76.78","1","Foreign"
"India","Kamarhati","26","104.74","1","Classics"
"India","Kanchrapara","15","62.85","1","Travel"
"India","Karnal","27","116.73","1","New"
"India","Katihar","24","86.76","1","Animation"
"India","Kumbakonam","16","56.84","1","Animation"
"India","Miraj","19","80.81","1","Sci-Fi"
"India","Munger (Monghyr)","30","105.70","1","Action"
"India","Mysore","24","119.76","1","New"
"India","Nagaon","19","73.81","1","Comedy"
"India","Palghat (Palakkad)","21","96.79","1","Children"
"India","Parbhani","26","123.74","1","Action"
"India","Pathankot","17","72.83","1","Action"
"India","Patiala","23","103.77","1","Sports"
"India","Pudukkottai","25","117.75","1","Sci-Fi"
"India","Pune","28","100.72","1","Children"
"India","Purnea (Purnia)","26","125.74","1","Documentary"
"India","Rae Bareli","31","141.69","1","Sports"
"India","Rajkot","20","95.80","1","Animation"
"India","Rampur","22","93.78","1","Animation"
"India","Ranchi","20","75.80","1","Comedy"
"India","Sambhal","21","86.79","1","Action"
"India","Satna","29","116.71","1","Foreign"
"India","Shimoga","19","86.81","1","Children"
"India","Shivapuri","22","94.78","1","Classics"
"India","Siliguri (Shiliguri)","30","130.70","1","Documentary"
"India","Tambaram","22","80.78","1","Documentary"
"India","Udaipur","23","109.77","1","Sci-Fi"
"India","Uluberia","28","109.72","1","Foreign"
"India","Uttarpara-Kotrung","23","88.77","1","Animation"
"India","Valparai","33","162.67","1","Foreign"
"India","Varanasi (Benares)","23","97.77","1","New"
"India","Vijayawada","23","121.77","1","Action"
"India","Yamuna Nagar","26","93.74","1","Drama"
"Indonesia","Cianjur","24","73.76","1","Animation"
"Indonesia","Ciomas","28","108.72","1","Animation"
"Indonesia","Ciparay","17","65.83","1","Games"
"Indonesia","Gorontalo","19","87.81","1","Action"
"Indonesia","Jakarta","24","94.76","1","Games"
"Indonesia","Lhokseumawe","31","122.69","1","Foreign"
"Indonesia","Madiun","25","96.75","1","New"
"Indonesia","Pangkal Pinang","16","84.84","1","Horror"
"Indonesia","Pemalang","26","106.74","1","Family"
"Indonesia","Pontianak","28","123.72","1","Action"
"Indonesia","Probolinggo","32","152.68","1","Action"
"Indonesia","Purwakarta","17","81.83","1","Animation"
"Indonesia","Surakarta","25","85.75","1","Drama"
"Indonesia","Tegal","19","66.81","1","Foreign"
"Iran","Arak","25","90.75","1","Music"
"Iran","Esfahan","24","94.76","1","Documentary"
"Iran","Kermanshah","26","93.74","1","Classics"
"Iran","Najafabad","31","139.69","1","Animation"
"Iran","Qomsheh","37","183.63","1","Comedy"
"Iran","Shahr-e Kord","20","79.80","1","Action"
"Iran","Sirjan","17","80.83","1","Horror"
"Iran","Tabriz","24","114.76","1","Sci-Fi"
"Iraq","Mosul","27","111.73","1","Sports"
"Israel","Ashdod","30","129.70","1","Sci-Fi"
"Israel","Ashqelon","19","86.81","1","Action"
"Israel","Bat Yam","14","67.86","1","Comedy"
"Israel","Tel Aviv-Jaffa","24","94.76","1","Foreign"
"Italy","Alessandria","20","88.80","1","Animation"
"Italy","Bergamo","33","137.67","1","Family"
"Italy","Brescia","25","113.75","1","Action"
"Italy","Brindisi","29","120.71","1","Classics"
"Italy","Livorno","22","95.78","1","Animation"
"Italy","Syrakusa","27","127.73","1","Drama"
"Italy","Udine","18","68.82","1","Family"
"Japan","Akishima","27","108.73","1","Children"
"Japan","Fukuyama","31","127.69","1","Children"
"Japan","Higashiosaka","25","98.75","1","Sci-Fi"
"Japan","Hino","16","74.84","1","Animation"
"Japan","Hiroshima","21","84.79","1","Drama"
"Japan","Isesaki","22","99.78","1","New"
"Japan","Iwaki","23","106.77","1","New"
"Japan","Iwakuni","26","114.74","1","Animation"
"Japan","Iwatsuki","26","105.74","1","Animation"
"Japan","Izumisano","25","79.75","1","Sci-Fi"
"Japan","Kakamigahara","29","122.71","1","Documentary"
"Japan","Kamakura","19","73.81","1","Sci-Fi"
"Japan","Kanazawa","20","87.80","1","Classics"
"Japan","Koriyama","19","62.81","2","Documentary"
"Japan","Kurashiki","24","89.76","1","Games"
"Japan","Kuwana","23","110.77","1","Sports"
"Japan","Matsue","19","68.81","1","Action"
"Japan","Miyakonojo","26","116.74","1","Animation"
"Japan","Nagareyama","24","88.76","1","Classics"
"Japan","Okayama","19","91.81","1","Family"
"Japan","Okinawa","21","92.79","1","Animation"
"Japan","Omiya","29","133.71","1","Animation"
"Japan","Onomichi","24","111.76","1","Sci-Fi"
"Japan","Otsu","23","117.77","1","Sci-Fi"
"Japan","Sagamihara","23","99.77","1","Games"
"Japan","Sasebo","30","114.70","1","Classics"
"Japan","Shimonoseki","35","138.65","1","Children"
"Japan","Tama","24","93.76","1","Sci-Fi"
"Japan","Tsuyama","16","78.84","1","Comedy"
"Japan","Ueda","28","99.72","1","Sci-Fi"
"Japan","Urawa","32","125.68","1","Action"
"Kazakstan","Pavlodar","21","74.79","1","Drama"
"Kazakstan","Zhezqazghan","28","117.72","1","Documentary"
"Kenya","Kisumu","23","105.77","1","Games"
"Kenya","Nyeri","28","139.72","1","Action"
"Kuwait","Jalib al-Shuyukh","25","106.75","1","Classics"
"Latvia","Daugavpils","30","142.70","1","Games"
"Latvia","Liepaja","27","106.73","1","Sci-Fi"
"Liechtenstein","Vaduz","26","99.74","1","Action"
"Lithuania","Vilnius","22","63.78","1","Children"
"Madagascar","Mahajanga","21","92.79","1","Horror"
"Malawi","Lilongwe","27","121.73","1","Classics"
"Malaysia","Ipoh","25","104.75","1","Children"
"Malaysia","Kuching","24","105.76","1","Action"
"Malaysia","Sungai Petani","28","119.72","1","Sci-Fi"
"Mexico","Acua","23","100.77","1","Children"
"Mexico","Allende","23","96.77","1","Travel"
"Mexico","Atlixco","30","128.70","1","Animation"
"Mexico","Carmen","21","95.79","1","Classics"
"Mexico","Celaya","24","102.76","1","Documentary"
"Mexico","Coacalco de Berriozbal","19","88.81","1","Sci-Fi"
"Mexico","Coatzacoalcos","26","125.74","1","Foreign"
"Mexico","Cuauhtmoc","28","134.72","1","Children"
"Mexico","Cuautla","25","91.75","1","Action"
"Mexico","Cuernavaca","24","109.76","1","Music"
"Mexico","El Fuerte","30","121.70","1","Sci-Fi"
"Mexico","Guadalajara","22","89.78","1","Action"
"Mexico","Hidalgo","22","94.78","1","Sports"
"Mexico","Huejutla de Reyes","24","112.76","1","Sci-Fi"
"Mexico","Huixquilucan","28","126.72","1","Comedy"
"Mexico","Jos Azueta","25","97.75","1","Foreign"
"Mexico","Jurez","21","69.79","1","Family"
"Mexico","La Paz","22","95.78","1","Drama"
"Mexico","Matamoros","23","71.77","1","Sports"
"Mexico","Mexicali","23","106.77","1","Family"
"Mexico","Monclova","25","91.75","1","Documentary"
"Mexico","Nezahualcyotl","27","86.73","1","Classics"
"Mexico","Pachuca de Soto","17","65.83","1","Animation"
"Mexico","Salamanca","28","130.72","1","Sci-Fi"
"Mexico","San Felipe del Progreso","21","93.79","1","Games"
"Mexico","San Juan Bautista Tuxtepec","25","98.75","1","Travel"
"Mexico","Torren","25","88.75","1","Drama"
"Mexico","Uruapan","32","143.68","1","Sports"
"Mexico","Valle de Santiago","19","52.81","1","Sports"
"Mexico","Zapopan","16","68.84","1","Foreign"
"Moldova","Chisinau","34","127.66","1","Children"
"Morocco","Beni-Mellal","20","73.80","1","Foreign"
"Morocco","Nador","26","105.74","1","Action"
"Morocco","Sal","19","94.81","1","Foreign"
"Mozambique","Beira","34","142.66","1","Documentary"
"Mozambique","Naala-Porto","23","113.77","1","Action"
"Mozambique","Tete","18","58.82","1","New"
"Myanmar","Monywa","25","97.75","1","Comedy"
"Myanmar","Myingyan","22","81.78","1","Horror"
"Nauru","Yangor","30","143.70","1","Comedy"
"Nepal","Birgunj","17","93.83","1","Foreign"
"Netherlands","Amersfoort","22","88.78","1","Sports"
"Netherlands","Apeldoorn","38","191.62","1","Games"
"Netherlands","Ede","22","103.78","1","New"
"Netherlands","Emmen","25","92.75","1","Family"
"Netherlands","s-Hertogenbosch","20","80.80","1","Animation"
"New Zealand","Hamilton","23","85.77","1","Classics"
"Nigeria","Benin City","22","108.78","1","Action"
"Nigeria","Deba Habe","22","97.78","1","Animation"
"Nigeria","Effon-Alaiye","24","96.76","1","Drama"
"Nigeria","Ife","30","137.70","1","New"
"Nigeria","Ikerre","32","124.68","1","Documentary"
"Nigeria","Ilorin","29","128.71","1","Animation"
"Nigeria","Kaduna","19","78.81","1","Classics"
"Nigeria","Ogbomosho","24","108.76","1","Sports"
"Nigeria","Ondo","23","89.77","1","Horror"
"Nigeria","Owo","23","103.77","1","Children"
"Nigeria","Oyo","15","54.85","1","Sci-Fi"
"Nigeria","Sokoto","22","97.78","1","Foreign"
"Nigeria","Zaria","23","86.77","1","Sci-Fi"
"North Korea","Pyongyang","29","107.71","1","Documentary"
"Oman","Masqat","20","78.80","1","Foreign"
"Oman","Salala","24","82.76","1","New"
"Pakistan","Dadu","28","113.72","1","Action"
"Pakistan","Mandi Bahauddin","16","77.84","1","Action"
"Pakistan","Mardan","27","103.73","1","New"
"Pakistan","Okara","18","73.82","1","Travel"
"Pakistan","Shikarpur","27","104.73","1","Action"
"Paraguay","Asuncin","21","87.79","1","Animation"
"Paraguay","Ciudad del Este","18","80.82","1","Horror"
"Paraguay","San Lorenzo","21","104.79","1","Horror"
"Peru","Callao","19","79.81","1","Sci-Fi"
"Peru","Hunuco","27","118.73","1","Family"
"Peru","Lima","30","120.70","1","Horror"
"Peru","Sullana","23","87.77","1","Foreign"
"Philippines","Baybay","28","116.72","1","Music"
"Philippines","Bayugan","25","92.75","1","Drama"
"Philippines","Bislig","19","71.81","1","Family"
