"film_id","film_title","film_category","inventory_count","total_rent","total_revenue","last_rental_date","avg_rental_duration"
19,"Amadeus Holy","Action","6","20","32.80","2006-02-14 15:16:03","6.00"
21,"American Circus","Action","6","19","146.81","2006-02-14 15:16:03","3.00"
29,"Antitrust Tomatoes","Action","2","7","27.93","2005-08-21 01:31:25","5.00"
56,"Barefoot Manchurian","Action","5","17","59.83","2005-08-23 19:45:25","6.00"
67,"Berets Agent","Action","6","19","72.80","2006-02-14 15:16:03","5.00"
97,"Bride Intrigue","Action","6","18","20.82","2005-08-23 20:29:10","7.00"
105,"Bull Shawshank","Action","5","16","21.84","2006-02-14 15:16:03","6.00"
111,"Caddyshack Jedi","Action","4","14","46.86","2005-08-23 14:27:07","3.00"
115,"Campus Remember","Action","7","17","81.83","2005-08-22 19:46:36","5.00"
126,"Casualties Encino","Action","3","8","61.92","2005-08-21 14:47:09","3.00"
130,"Celebrity Horn","Action","6","21","28.79","2005-08-23 14:59:51","7.00"
162,"Clueless Bucket","Action","7","23","105.77","2005-08-23 10:25:45","4.00"
194,"Crow Grease","Action","4","11","14.89","2005-08-23 07:31:10","6.00"
205,"Dances None","Action","4","13","28.87","2006-02-14 15:16:03","3.00"
210,"Darko Dorado","Action","3","10","72.90","2005-08-23 11:32:35","3.00"
212,"Darn Forrester","Action","5","17","87.83","2005-08-23 21:54:02","7.00"
229,"Devil Desire","Action","4","14","78.86","2006-02-14 15:16:03","6.00"
250,"Dragon Squad","Action","4","11","27.89","2005-08-23 18:28:09","4.00"
252,"Dream Pickup","Action","6","20","73.80","2005-08-22 02:20:44","6.00"
253,"Drifter Commandments","Action","6","22","131.78","2006-02-14 15:16:03","5.00"
271,"Easy Gladiator","Action","5","20","132.80","2005-08-21 09:06:29","5.00"
287,"Entrapment Satisfaction","Action","4","13","42.87","2005-08-23 09:02:03","5.00"
292,"Excitement Eve","Action","6","20","61.80","2005-08-22 15:52:57","3.00"
303,"Fantasy Troopers","Action","6","21","35.79","2005-08-22 12:16:46","6.00"
327,"Fool Mockingbird","Action","6","21","162.79","2005-08-22 07:37:24","3.00"
329,"Forrest Sons","Action","6","17","83.83","2005-08-23 15:47:02","4.00"
360,"Glass Dying","Action","4","12","35.88","2005-08-23 15:58:05","4.00"
371,"Gosford Donnie","Action","3","8","48.92","2005-08-22 07:35:31","5.00"
375,"Grail Frankenstein","Action","2","8","40.92","2006-02-14 15:16:03","4.00"
395,"Handicap Boondock","Action","6","24","50.76","2005-08-22 18:04:22","4.00"
417,"Hills Neighbors","Action","6","21","58.79","2005-08-23 04:17:56","5.00"
501,"Kissing Dolls","Action","5","17","120.83","2005-08-23 16:33:33","3.00"
511,"Lawrence Love","Action","5","13","15.87","2005-08-23 21:45:02","7.00"
530,"Lord Arizona","Action","3","10","39.90","2006-02-14 15:16:03","5.00"
542,"Lust Lock","Action","6","15","74.82","2006-02-14 15:16:03","3.00"
549,"Magnolia Forrester","Action","4","11","34.89","2005-08-22 11:14:31","4.00"
574,"Midnight Westward","Action","5","16","38.84","2006-02-14 15:16:03","3.00"
579,"Minds Truman","Action","7","19","144.81","2005-08-22 14:27:46","3.00"
586,"Mockingbird Hollywood","Action","8","22","53.78","2006-02-14 15:16:03","4.00"
594,"Montezuma Command","Action","3","9","11.91","2005-08-23 14:35:10","6.00"
659,"Park Citizen","Action","2","6","48.94","2005-08-20 20:26:53","3.00"
664,"Patriot Roman","Action","5","15","52.85","2005-08-22 16:40:21","6.00"
697,"Primary Glass","Action","8","27","36.73","2005-08-21 08:58:38","7.00"
707,"Quest Mussolini","Action","6","20","77.80","2005-08-23 08:19:55","5.00"
717,"Rear Trading","Action","4","15","27.85","2005-08-22 21:15:46","6.00"
732,"Rings Heartbreakers","Action","4","13","31.87","2005-08-23 02:55:42","5.00"
748,"Rugrats Shakespeare","Action","8","28","67.72","2005-08-23 20:47:28","4.00"
793,"Shrunk Divine","Action","4","13","46.87","2005-08-23 18:51:41","6.00"
794,"Side Ark","Action","4","12","29.88","2005-08-23 15:01:54","5.00"
823,"South Wait","Action","7","21","102.79","2006-02-14 15:16:03","4.00"
825,"Speakeasy Date","Action","3","11","41.89","2005-08-21 17:48:49","6.00"
838,"Stagecoach Armageddon","Action","6","23","138.77","2005-08-23 16:19:02","5.00"
850,"Story Side","Action","7","26","35.74","2005-08-23 17:48:30","7.00"
869,"Suspects Quills","Action","7","27","118.73","2006-02-14 15:16:03","4.00"
911,"Trip Newton","Action","8","26","135.74","2005-08-23 11:37:32","7.00"
915,"Truman Crazy","Action","6","20","104.80","2005-08-22 21:18:59","7.00"
927,"Uprising Uptown","Action","4","13","45.87","2005-08-23 16:54:09","6.00"
964,"Waterfront Deliverance","Action","5","16","116.84","2005-08-21 20:12:30","4.00"
968,"Werewolf Lola","Action","3","12","68.88","2005-08-23 20:00:30","6.00"
982,"Women Dorado","Action","7","20","38.81","2006-02-14 15:16:03","4.00"
991,"Worst Banger","Action","5","15","66.85","2005-08-23 01:13:52","4.00"
18,"Alter Victory","Animation","6","20","30.80","2005-08-23 03:44:51","6.00"
23,"Anaconda Confessions","Animation","5","18","51.82","2005-08-20 21:21:08","3.00"
70,"Bikini Borrowers","Animation","4","14","79.86","2005-08-22 20:03:46","7.00"
78,"Blackout Private","Animation","7","23","78.77","2005-08-23 01:39:10","7.00"
89,"Borrowers Bedazzled","Animation","6","20","25.80","2005-08-23 17:42:42","7.00"
118,"Canyon Stock","Animation","6","19","27.81","2006-02-14 15:16:03","7.00"
121,"Carol Texas","Animation","6","17","79.83","2005-08-23 11:55:50","4.00"
134,"Champion Flatliners","Animation","3","10","62.90","2005-08-23 16:44:25","4.00"
154,"Clash Freddy","Animation","7","23","77.77","2005-08-23 18:49:32","6.00"
160,"Club Graffiti","Animation","5","17","38.82","2006-02-14 15:16:03","4.00"
193,"Crossroads Casualties","Animation","8","20","74.80","2005-08-23 12:47:05","5.00"
208,"Dares Pluto","Animation","3","8","26.92","2005-08-18 08:07:45","7.00"
223,"Desire Alien","Animation","2","8","25.92","2005-08-22 16:22:53","7.00"
239,"Dogma Family","Animation","8","28","168.72","2005-08-23 05:24:29","5.00"
241,"Donnie Alley","Animation","4","13","34.87","2005-08-22 16:08:23","4.00"
243,"Doors President","Animation","6","18","118.82","2006-02-14 15:16:03","3.00"
245,"Double Wrath","Animation","7","21","56.79","2005-08-23 00:56:01","4.00"
259,"Duck Racer","Animation","2","5","20.95","2005-08-23 07:50:46","4.00"
268,"Early Home","Animation","2","6","36.94","2005-08-21 17:57:26","6.00"
300,"Falcon Volume","Animation","6","18","106.81","2006-02-14 15:16:03","5.00"
314,"Fight Jawbreaker","Animation","6","20","53.80","2006-02-14 15:16:03","3.00"
326,"Flying Hook","Animation","6","19","77.81","2006-02-14 15:16:03","6.00"
330,"Forrester Comancheros","Animation","7","26","141.74","2006-02-14 15:16:03","7.00"
349,"Gangs Pride","Animation","7","22","95.78","2005-08-23 16:34:31","4.00"
355,"Ghostbusters Elf","Animation","2","7","8.93","2005-08-23 13:24:57","7.00"
402,"Harper Dying","Animation","6","20","77.80","2005-08-23 21:59:26","3.00"
430,"Hook Chariots","Animation","4","13","17.87","2005-08-23 10:35:51","7.00"
433,"Horn Working","Animation","6","23","109.77","2005-08-23 10:04:36","4.00"
456,"Inch Jet","Animation","6","18","95.82","2005-08-23 09:53:30","6.00"
