"film_id","film_title","film_category","total_revenue","total_rent","avg_revenue_per_rental","last_rental_date"
879,"Telegraph Voyage","Music","215.75","25","8.6300000000000000","2005-08-23 08:27:57"
1000,"Zorro Ark","Comedy","199.72","28","7.1328571428571429","2005-08-23 17:56:01"
973,"Wife Turn","Documentary","198.73","27","7.3603703703703704","2005-08-23 14:47:26"
460,"Innocent Usual","Foreign","191.74","26","7.3746153846153846","2005-08-22 15:22:15"
444,"Hustler Party","Comedy","190.78","22","8.6718181818181818","2005-08-23 09:42:21"
764,"Saturday Lambs","Sports","190.74","26","7.3361538461538462","2005-08-23 19:42:04"
893,"Titans Jerk","Sci-Fi","186.73","27","6.9159259259259259","2006-02-14 15:16:03"
403,"Harry Idaho","Drama","177.73","27","6.5825925925925926","2006-02-14 15:16:03"
897,"Torque Bound","Drama","169.76","23","7.3808695652173913","2006-02-14 15:16:03"
239,"Dogma Family","Animation","168.72","28","6.0257142857142857","2005-08-23 05:24:29"
670,"Pelican Comforts","Documentary","165.77","23","7.2073913043478261","2005-08-23 21:07:59"
369,"Goodfellas Salute","Sci-Fi","164.75","25","6.5900000000000000","2005-08-23 18:08:19"
327,"Fool Mockingbird","Action","162.79","21","7.7519047619047619","2005-08-22 07:37:24"
31,"Apache Divine","Family","160.72","28","5.7400000000000000","2005-08-23 15:10:42"
284,"Enemy Odds","Music","159.75","25","6.3900000000000000","2005-08-21 10:10:01"
127,"Cat Coneheads","Comedy","159.73","27","5.9159259259259259","2006-02-14 15:16:03"
771,"Scorpion Apollo","Drama","158.79","21","7.5614285714285714","2005-08-23 22:19:33"
715,"Range Moonwalker","Family","158.77","23","6.9030434782608696","2005-08-23 11:35:12"
767,"Scalawag Duck","Music","157.71","29","5.4382758620689655","2005-08-23 17:13:01"
865,"Sunrise League","Animation","155.78","22","7.0809090909090909","2005-08-22 11:01:15"
527,"Lola Agent","Horror","154.77","23","6.7291304347826087","2005-08-22 11:36:16"
551,"Maiden Home","New","152.78","22","6.9445454545454545","2005-08-23 06:00:28"
938,"Velvet Terminator","Comedy","152.77","23","6.6421739130434783","2005-08-23 18:46:44"
159,"Closer Bang","Comedy","152.76","24","6.3650000000000000","2005-08-22 21:28:59"
103,"Bucket Brotherhood","Travel","150.72","28","5.3828571428571429","2005-08-23 21:49:22"
846,"Sting Personal","New","149.80","20","7.4900000000000000","2005-08-23 22:21:03"
892,"Titanic Boondock","Animation","149.78","22","6.8081818181818182","2006-02-14 15:16:03"
563,"Massacre Usual","Games","149.75","25","5.9900000000000000","2005-08-23 17:02:00"
624,"Nightmare Chill","Games","148.79","21","7.0852380952380952","2005-08-23 20:40:31"
941,"Videotape Arsenic","Games","148.76","24","6.1983333333333333","2005-08-22 15:29:15"
21,"American Circus","Action","146.81","19","7.7268421052631579","2006-02-14 15:16:03"
979,"Witches Panic","Drama","146.75","25","5.8700000000000000","2005-08-23 09:16:39"
791,"Show Lord","Documentary","145.78","22","6.6263636363636364","2005-08-23 16:58:12"
579,"Minds Truman","Action","144.81","19","7.6215789473684211","2005-08-22 14:27:46"
989,"Working Microcosmos","Travel","144.78","22","6.5809090909090909","2005-08-23 02:06:01"
985,"Wonderland Christmas","Sci-Fi","142.79","21","6.7995238095238095","2005-08-23 19:54:24"
408,"Head Stranger","Games","142.79","21","6.7995238095238095","2005-08-23 04:51:52"
972,"Whisperer Giant","Sci-Fi","141.80","20","7.0900000000000000","2005-08-23 13:41:05"
330,"Forrester Comancheros","Animation","141.74","26","5.4515384615384615","2006-02-14 15:16:03"
48,"Backlash Undefeated","Children","140.84","16","8.8025000000000000","2005-08-23 15:15:02"
244,"Dorado Notting","Music","140.78","22","6.3990909090909091","2005-08-23 18:48:40"
86,"Boogie Amelie","Music","140.74","25","5.6296000000000000","2006-02-14 15:16:03"
778,"Secrets Paradise","Family","139.82","18","7.7677777777777778","2005-08-22 21:01:48"
580,"Mine Titans","New","138.83","17","8.1664705882352941","2005-08-23 20:20:23"
838,"Stagecoach Armageddon","Action","138.77","23","6.0334782608695652","2005-08-23 16:19:02"
683,"Pity Bound","Drama","138.77","23","6.0334782608695652","2005-08-23 21:25:03"
745,"Roses Treasure","Sports","137.77","23","5.9900000000000000","2005-08-23 18:15:06"
856,"Streetcar Intentions","Horror","137.77","23","5.9900000000000000","2005-08-23 02:08:18"
307,"Fellowship Autumn","Travel","137.76","24","5.7400000000000000","2005-08-22 13:39:20"
843,"Steel Santa","Classics","136.78","22","6.2172727272727273","2005-08-23 17:16:28"
174,"Confidential Interview","Music","136.76","24","5.6983333333333333","2005-08-23 15:22:15"
911,"Trip Newton","Action","135.74","26","5.2207692307692308","2005-08-23 11:37:32"
324,"Flintstones Happiness","Comedy","134.83","17","7.9311764705882353","2005-08-22 23:08:46"
350,"Garden Island","Sci-Fi","134.82","18","7.4900000000000000","2005-08-23 10:23:28"
267,"Eagles Panky","New","134.81","19","7.0952631578947368","2006-02-14 15:16:03"
861,"Suit Walls","Games","134.81","19","7.0952631578947368","2006-02-14 15:16:03"
320,"Flamingos Connecticut","New","134.78","22","6.1263636363636364","2005-08-22 19:28:04"
45,"Attraction Newton","New","133.78","22","6.0809090909090909","2005-08-21 23:00:02"
902,"Trading Pinocchio","Sports","133.77","23","5.8160869565217391","2006-02-14 15:16:03"
409,"Heartbreakers Bright","Children","132.80","20","6.6400000000000000","2005-08-23 18:54:32"
271,"Easy Gladiator","Action","132.80","20","6.6400000000000000","2005-08-21 09:06:29"
263,"Durham Panky","Sports","132.76","24","5.5316666666666667","2005-08-22 01:12:44"
596,"Moonshine Cabin","Games","131.80","20","6.5900000000000000","2005-08-22 19:37:20"
253,"Drifter Commandments","Action","131.78","22","5.9900000000000000","2006-02-14 15:16:03"
614,"Name Detective","Games","131.78","22","5.9900000000000000","2006-02-14 15:16:03"
10,"Aladdin Calendar","Sports","131.77","23","5.7291304347826087","2005-08-21 20:49:21"
172,"Coneheads Smoochy","Drama","131.76","24","5.4900000000000000","2005-08-23 16:57:43"
521,"Lies Treatment","Drama","131.76","24","5.4900000000000000","2005-08-20 23:07:10"
575,"Midsummer Groundhog","Documentary","129.82","18","7.2122222222222222","2005-08-21 19:59:30"
227,"Details Packer","Games","128.82","18","7.1566666666666667","2006-02-14 15:16:03"
706,"Queen Luke","Drama","128.79","21","6.1328571428571429","2006-02-14 15:16:03"
898,"Tourist Pelican","Sports","126.81","19","6.6742105263157895","2005-08-21 12:48:48"
755,"Sabrina Midnight","Children","126.79","21","6.0376190476190476","2005-08-21 20:53:40"
518,"Liaisons Sweet","Travel","126.79","21","6.0376190476190476","2005-08-22 13:04:32"
500,"Kiss Glory","Foreign","126.79","21","6.0376190476190476","2005-08-22 06:39:24"
775,"Seattle Expecations","Drama","125.80","19","6.6210526315789474","2006-02-14 15:16:03"
61,"Beauty Grease","Drama","125.79","21","5.9900000000000000","2005-08-23 21:34:33"
603,"Movie Shakespeare","Family","125.78","23","5.4686956521739130","2006-02-14 15:16:03"
361,"Gleaming Jawbreaker","Sports","125.72","27","4.6562962962962963","2006-02-14 15:16:03"
135,"Chance Resurrection","Sports","124.76","24","5.1983333333333333","2005-08-23 16:30:55"
112,"Calendar Gunfight","Foreign","123.82","18","6.8788888888888889","2005-08-23 00:49:24"
412,"Heavyweights Beast","Documentary","123.78","22","5.6263636363636364","2005-08-23 03:54:39"
763,"Satisfaction Confidential","Sports","122.84","16","7.6775000000000000","2005-08-22 21:05:50"
995,"Yentl Idaho","Horror","122.79","21","5.8471428571428571","2005-08-23 18:50:54"
167,"Coma Head","Travel","122.77","23","5.3378260869565217","2005-08-23 02:06:41"
131,"Center Dinosaur","Classics","121.79","21","5.7995238095238095","2006-02-14 15:16:03"
804,"Sleeping Suspects","Horror","121.78","22","5.5354545454545455","2006-02-14 15:16:03"
698,"Princess Giant","Documentary","121.77","24","5.0737500000000000","2006-02-14 15:16:03"
702,"Pulp Beverly","Horror","121.74","26","4.6823076923076923","2006-02-14 15:16:03"
215,"Dawn Pond","Games","120.83","17","7.1076470588235294","2005-08-23 14:23:44"
501,"Kissing Dolls","Action","120.83","17","7.1076470588235294","2005-08-23 16:33:33"
818,"Something Duck","Drama","120.82","18","6.7122222222222222","2005-08-20 17:24:45"
908,"Trap Guys","Foreign","119.85","15","7.9900000000000000","2005-08-22 23:48:56"
680,"Pinocchio Simon","Comedy","119.82","18","6.6566666666666667","2005-08-23 21:30:45"
710,"Rage Games","Family","119.81","19","6.3057894736842105","2005-08-23 21:02:43"
73,"Bingo Talented","Sci-Fi","119.75","25","4.7900000000000000","2005-08-22 22:30:50"
243,"Doors President","Animation","118.82","18","6.6011111111111111","2006-02-14 15:16:03"
222,"Desert Poseidon","Horror","118.81","19","6.2531578947368421","2005-08-23 18:40:41"
556,"Maltese Hope","Games","118.79","21","5.6566666666666667","2005-08-23 16:43:54"
869,"Suspects Quills","Action","118.73","27","4.3974074074074074","2006-02-14 15:16:03"
313,"Fidelity Devil","Horror","117.82","18","6.5455555555555556","2005-08-23 06:41:07"
814,"Snatch Slipper","Comedy","117.80","20","5.8900000000000000","2005-08-23 15:34:46"
415,"High Encino","Horror","117.79","21","5.6090476190476190","2005-08-22 16:55:26"
964,"Waterfront Deliverance","Action","116.84","16","7.3025000000000000","2005-08-21 20:12:30"
572,"Metropolis Coma","Sci-Fi","116.76","24","4.8650000000000000","2005-08-22 13:19:25"
621,"Network Peak","Family","116.73","27","4.3233333333333333","2005-08-23 09:07:11"
734,"Road Roxanne","Documentary","115.83","17","6.8135294117647059","2005-08-23 14:29:16"
439,"Hunchback Impossible","Drama","115.83","17","6.8135294117647059","2006-02-14 15:16:03"
69,"Beverly Outlaw","Sci-Fi","115.79","21","5.5138095238095238","2005-08-23 15:19:15"
