facility_name,facility_type_display,improved_water_supply,improved_sanitation,chalkboard_each_classroom_yn,num_tchrs_with_nce,num_tchr_full_time,num_students_total,num_classrms_total,phcn_electricity,num_toilets_total,num_students_male,num_students_female,num_tchrs_male,num_tchrs_female,date_of_survey,education_type,community,ward,management,sector,unique_lga,latitude,longitude,total_teacher,student_teacher_ratio,total_student
CPS SWALI,Primary school only,True,True,False,9,9,776,12,False,21,383,393,5,4,2014-03-04,formal_only,Swali,3,public,education,bayelsa,4.91691036,6.27412844,9,86.22222222222223,776
L.E.A Primary School Pabeyi,Primary school only,True,True,False,9,11,283,9,False,2,185,98,9,2,2014-05-02,formal_only,Pabeyi,Dobi,public,education,fct,9.174855,7.02206166666667,11,25.727272727272727,283
L.E.A.PrimarySchoolPagadna,Primary school only,False,True,False,4,5,247,7,False,2,147,100,5,0,2014-04-25,formal_only,Pagadna,Dobi,public,education,fct,9.11584666666667,6.962315,5,49.4,247
Syflora Academy,Primary school only,False,True,True,4,8,66,10,True,4,29,37,2,6,2014-04-25,formal_only,Mpape,Dutse,private,education,fct,9.141155,7.499665,8,8.25,66
Nomadic Paiko Kore,Primary school only,True,True,True,4,6,120,6,False,2,44,76,5,1,2014-04-25,formal_only,Paiko Kore,Paiko,public,education,fct,8.99146,7.009675,6,20.0,120
Nomadic Jayi,Primary school only,True,True,True,4,4,152,9,False,4,100,52,3,1,2014-04-25,formal_only,Jayi,Dobi,public,education,fct,9.20420333333333,7.01514833333333,4,38.0,152
Nomadic Kutunku,Primary school only,True,True,False,7,10,245,10,True,10,160,85,7,3,2014-04-25,formal_only,Kutunku,Kutunku,public,education,fct,8.93468666666667,7.05636,10,24.5,245
Bargada Primary School,Primary school only,False,True,False,4,5,181,10,False,2,100,81,5,0,2014-04-25,formal_only,Bargada,Paiko,public,education,fct,8.92126833333333,6.95962833333333,5,36.2,181
Macbeth Intl School,Primary and Junior Secondary school combined,True,True,True,3,6,80,6,False,1,30,50,2,4,2014-04-21,formal_only,Byazhin,Byazhin,private,education,fct,9.19196,7.33259666666667,6,13.333333333333334,80
Ideal Nursery/Primary/Junior Secodary School,Primary and Junior Secondary school combined,True,True,False,16,16,150,14,True,10,70,80,6,10,2014-04-21,formal_only,Kubwa,Kubwa,private,education,fct,9.15381166666667,7.338185,16,9.375,150
Fely Ben Intl School,Primary school only,True,True,True,7,10,230,9,False,6,80,150,2,8,2014-04-21,formal_only,Byazhin,Byazhin,private,education,fct,9.17195166666667,7.31986,10,23.0,230
Divine Wisdom Academy,Primary and Junior Secondary school combined,True,True,True,6,8,113,8,True,3,33,80,1,7,2014-04-21,formal_only,Dutse Alhaji,Dutse,private,education,fct,9.14028333333333,7.36897833333333,8,14.125,113
Catherina Intl Academy,"Primary, Junior and Senior Secondary school combined",True,True,True,12,35,400,29,True,24,150,250,15,20,2014-04-21,formal_only,Dutse Alhaji,Dutse,private,education,fct,9.13630333333333,7.38317833333333,35,11.428571428571429,400
Ambassadors Nur and Primary School,Primary school only,False,True,True,10,15,234,13,True,4,126,108,7,8,2014-04-21,formal_only,Dutse Alhaji,Dutse,private,education,fct,9.13822833333333,7.37318,15,15.6,234
First Baptist Nursery & Primary School,Primary school only,True,True,True,2,9,165,12,False,6,84,81,1,8,2014-03-05,formal_only,Rumuche,4,private,education,rivers,4.8769,6.8586,9,18.333333333333332,165
PCN Primary school,Primary school only,False,False,True,25,31,689,13,False,0,317,372,4,27,2014-02-27,formal_only,Akpet central,Akpet abini,public,education,cross,5.6237,8.1039,31,22.225806451612904,689
Pcn primary school,Primary school only,False,False,False,14,14,334,14,False,0,192,142,7,7,2014-02-27,formal_only,Ehom village,Ehom,public,education,cross,5.5094,8.1072,14,23.857142857142858,334
PCN primary school,Primary school only,True,False,False,27,30,644,20,False,0,286,358,9,21,2014-02-27,formal_only,Betem,Ehom,public,education,cross,5.497,8.1633,30,21.466666666666665,644
ST. COLMAN PRIM. SCH. UTUGWANG,Primary school only,False,True,False,19,19,727,34,False,6,364,363,16,3,2014-02-27,formal_only,NKERIRA,UTUGWANG CENTRAL,public,education,cross,6.6358,9.0257,19,38.26315789473684,727
UPE PRIM SCH. UKUTIA,Primary school only,False,True,False,8,11,246,12,False,4,95,151,9,2,2014-02-27,formal_only,UKUTIA,UTUGWANG NORTH,public,education,cross,6.6202,9.0336,11,22.363636363636363,246
GOVT. PRIM SCH. UKPIRINYI,Primary school only,True,False,False,6,7,222,10,False,0,162,60,6,1,2014-02-27,formal_only,UKPIRINYI,UTUGWANG CENTRAL,public,education,cross,6.6393,9.0058,7,31.714285714285715,222
Ojojo Primary School Ã¢ÂÂA & BÃ¢ÂÂ,Primary school only,False,True,False,20,33,774,25,True,2,387,387,1,32,2014-02-27,formal_only,Warri,Okere,public,education,delta,5.5137,5.748,33,23.454545454545453,774
UPE Okwukwoetere Emohua,Primary school only,True,True,True,4,9,360,12,False,14,220,140,3,6,2014-03-05,formal_only,Rumuche Emohua,4,public,education,rivers,4.8769,6.856,9,40.0,360
State school 1. Rumuewhor,Primary school only,False,False,False,3,6,220,6,False,0,120,100,5,1,2014-03-04,formal_only,Rumuewhor,14,public,education,rivers,4.9002,6.7699,6,36.666666666666664,220
State School 11 Ubimini,Primary school only,False,False,False,1,8,330,8,False,0,154,176,6,2,2014-02-28,formal_only,Ubimini,12,public,education,rivers,5.276,6.7347,8,41.25,330
State School 1 Ubimini,Primary school only,False,False,False,3,13,400,20,False,0,214,186,10,3,2014-02-28,formal_only,Ubimini,12,public,education,rivers,5.2699,6.7334,13,30.76923076923077,400
State School Okporowo Ogbakiri,Primary school only,False,False,False,4,11,159,6,False,0,71,88,3,8,2014-02-28,formal_only,Okporowo,1,public,education,rivers,4.8311,6.899,11,14.454545454545455,159
State School 3 Ibaa,Primary school only,False,False,False,2,16,350,12,False,0,200,150,13,3,2014-03-04,formal_only,Obelle,5,public,education,rivers,5.0126,6.8172,16,21.875,350
UBE Pri. Sch. Ang. Maigashi,Primary school only,False,False,False,2,2,137,6,False,0,85,52,2,0,2014-04-11,formal_only,Ang. Maigashi,Lazuru,public,education,kaduna,10.35006065,8.6484392,2,68.5,137
LEA Pri. Sch. Urana,Primary school only,False,False,False,2,3,206,5,False,0,124,82,3,0,2014-04-11,formal_only,Urana,Lazuru,public,education,kaduna,10.26583771,8.65036594,3,68.66666666666667,206
UBE Pri. Sch. Ruwan Sha,Primary school only,False,False,False,1,3,189,4,False,0,130,59,3,0,2014-04-11,formal_only,Ruwan Sha,Lazuru,public,education,kaduna,10.26305282,8.6652305,3,63.0,189
